time	I(R5)
Step Information: R=1  (Step: 1/11)
9.220720576760107e-01	1.048694e-02
9.230720576760107e-01	1.063203e-02
9.240720576760107e-01	1.077347e-02
9.250720576760108e-01	1.091057e-02
9.260720576760108e-01	1.104374e-02
9.270720576760108e-01	1.117229e-02
9.280720576760108e-01	1.129664e-02
9.290720576760108e-01	1.141611e-02
9.300720576760108e-01	1.153115e-02
9.310720576760108e-01	1.164106e-02
9.320720576760108e-01	1.174631e-02
9.330720576760108e-01	1.184619e-02
9.340720576760108e-01	1.194122e-02
9.350720576760108e-01	1.203066e-02
9.360720576760108e-01	1.211503e-02
9.370720576760108e-01	1.219361e-02
9.380720576760108e-01	1.226695e-02
9.390720576760108e-01	1.233435e-02
9.400720576760108e-01	1.239637e-02
